ComponentName,ExportFile,BarrelExported,ImportRefs,JSXRefs,TotalRefs,LastModified
IncidentSummaryDisplay,apps/web/components/incidents/IncidentSummaryDisplay.tsx,NO,1,0,1,2025-09-17
IncidentTable,apps/web/components/incidents/IncidentTable.tsx,YES,1,0,1,2025-09-07
NarrativeGrid,apps/web/components/incidents/NarrativeGrid.tsx,YES,1,0,1,2025-09-17
OriginalContentCollapse,apps/web/components/incidents/OriginalContentCollapse.tsx,NO,1,0,1,2025-08-14
QADisplayCollapse,apps/web/components/incidents/QADisplayCollapse.tsx,NO,1,0,1,2025-08-14
QuestionCard,apps/web/components/incidents/QuestionCard.tsx,YES,1,0,1,2025-08-11
QuestionsList,apps/web/components/incidents/QuestionsList.tsx,YES,1,0,1,2025-09-17
WorkflowExportButton,apps/web/components/incidents/WorkflowExportButton.tsx,NO,1,0,1,2025-08-14
WorkflowImportButton,apps/web/components/incidents/WorkflowImportButton.tsx,NO,1,0,1,2025-08-14
AdminPageHeader,apps/web/components/layout/admin-page-header.tsx,NO,8,0,8,2025-08-09
BreadcrumbNavigation,apps/web/components/layout/breadcrumb-navigation.tsx,NO,1,0,1,2025-10-06
ComingSoonPage,apps/web/components/layout/coming-soon-page.tsx,NO,10,0,10,2025-08-09
FooterNavigation,apps/web/components/layout/footer-navigation.tsx,NO,1,0,1,2025-08-10
HeaderNavigation,apps/web/components/layout/header-navigation.tsx,NO,1,0,1,2025-08-09
MainLayout,apps/web/components/layout/main-layout.tsx,NO,1,1,2,2025-08-09
SidebarNavigation,apps/web/components/layout/sidebar-navigation.tsx,NO,1,0,1,2025-08-09
LoggingProvider,apps/web/components/logging/logging-provider.tsx,NO,2,1,3,2025-08-11
LoggingStatus,apps/web/components/logging/logging-status.tsx,NO,2,0,2,2025-08-09
MobileWizardShell,apps/web/components/mobile/MobileWizardShell.tsx,NO,1,0,1,2025-09-17
SwipeHandler,apps/web/components/mobile/SwipeHandler.tsx,NO,1,0,1,2025-09-17
TouchNavigationBar,apps/web/components/mobile/TouchNavigationBar.tsx,NO,1,0,1,2025-09-17
EnhancementIndicator,apps/web/components/narrative/enhancement-indicator.tsx,YES,2,3,5,2025-08-09
NarrativePhaseEditor,apps/web/components/narrative/narrative-phase-editor.tsx,YES,2,0,2,2025-08-09
NarrativeProgress,apps/web/components/narrative/narrative-progress.tsx,YES,2,0,2,2025-08-09
ParticipantCard,apps/web/components/participants/ParticipantCard.tsx,YES,1,0,1,2025-08-09
ParticipantForm,apps/web/components/participants/ParticipantForm.tsx,YES,1,0,1,2025-08-14
ParticipantList,apps/web/components/participants/ParticipantList.tsx,YES,1,0,1,2025-08-14
ParticipantSearch,apps/web/components/participants/ParticipantSearch.tsx,YES,1,0,1,2025-08-09
ParticipantSelector,apps/web/components/participants/ParticipantSelector.tsx,YES,1,0,1,2025-08-11
CollaborationBadge,apps/web/components/realtime/collaboration-badge.tsx,YES,2,0,2,2025-08-09
LiveStatusIndicator,apps/web/components/realtime/live-status-indicator.tsx,YES,2,0,2,2025-08-08
NotificationCenter,apps/web/components/realtime/notification-center.tsx,YES,2,0,2,2025-08-08
RealTimeSubscriptionManager,apps/web/components/realtime/realtime-subscription-manager.tsx,YES,2,0,2,2025-08-09
ActionButton,apps/web/components/shared/action-button.tsx,YES,1,0,1,2025-08-08
StatusBadge,apps/web/components/shared/status-badge.tsx,YES,5,13,18,2025-08-08
IncidentStatusBadge,apps/web/components/shared/status-badge.tsx,YES,2,0,2,2025-08-08
CaptureStatusBadge,apps/web/components/shared/status-badge.tsx,YES,0,0,0,2025-08-08
AnalysisStatusBadge,apps/web/components/shared/status-badge.tsx,YES,0,0,0,2025-08-08
ThemeProvider,apps/web/components/theme/theme-provider.tsx,NO,3,0,3,2025-08-01
ThemeToggle,apps/web/components/theme/theme-toggle.tsx,NO,4,1,5,2025-08-10
AutoSaveIndicator,apps/web/components/ui/auto-save-indicator.tsx,NO,6,3,9,2025-08-11
PermissionIndicator,apps/web/components/user/permission-indicator.tsx,YES,2,0,2,2025-08-08
SessionStatus,apps/web/components/user/session-status.tsx,YES,2,0,2,2025-08-08
UserProfile,apps/web/components/user/user-profile.tsx,YES,3,0,3,2025-08-08
WorkflowWizard,apps/web/components/user/workflow-wizard.tsx,YES,5,0,5,2025-09-17
OwnerBadge,apps/web/components/users/OwnerBadge.tsx,NO,0,0,0,2025-08-10
OwnerProtectionIndicator,apps/web/components/users/OwnerBadge.tsx,NO,0,0,0,2025-08-10
OwnerProtectionWarning,apps/web/components/users/OwnerBadge.tsx,NO,1,1,2,2025-08-10
RoleSelector,apps/web/components/users/RoleSelector.tsx,NO,0,0,0,2025-08-14
UserForm,apps/web/components/users/UserForm.tsx,NO,1,0,1,2025-09-02
UserSearchFilter,apps/web/components/users/UserSearchFilter.tsx,NO,1,0,1,2025-09-02
UserTable,apps/web/components/users/UserTable.tsx,NO,2,0,2,2025-09-02
WizardShell,apps/web/components/workflow/wizard-shell.tsx,YES,3,0,3,2025-08-08
